,Mean_temp (K),datetime
519,221.43179066741072,2019-04-11 14:30:00
520,227.77356962851897,2019-04-11 14:40:00
521,214.77197242266124,2019-04-11 14:50:00
522,236.43449117894474,2019-04-11 15:00:00
523,241.02609851153736,2019-04-11 15:10:00
524,242.1506555786097,2019-04-11 15:20:00
525,242.2864073186383,2019-04-11 15:30:00
526,242.5165823348426,2019-04-11 15:40:00
527,242.68105635230486,2019-04-11 15:50:00
528,242.96047675964138,2019-04-11 16:00:00
529,243.1691606969749,2019-04-11 16:10:00
530,243.35546668190548,2019-04-11 16:20:00
531,243.57817862852363,2019-04-11 16:30:00
532,243.6899500866287,2019-04-11 16:40:00
533,243.8276681663241,2019-04-11 16:50:00
534,244.00986516973012,2019-04-11 17:00:00
535,244.30859707635162,2019-04-11 17:10:00
536,244.521210138182,2019-04-11 17:20:00
537,244.6869895497559,2019-04-11 17:30:00
538,244.770307329828,2019-04-11 17:40:00
539,244.8192343166343,2019-04-11 17:50:00
540,244.8533629221449,2019-04-11 18:00:00
541,244.8591261946477,2019-04-11 18:10:00
542,244.88625681775642,2019-04-11 18:20:00
543,244.89247847410272,2019-04-11 18:30:00
544,244.90402170650702,2019-04-11 18:40:00
545,244.89905102410927,2019-04-11 18:50:00
546,244.94409847180785,2019-04-11 19:00:00
547,244.94190180328937,2019-04-11 19:10:00
548,244.94287708448863,2019-04-11 19:20:00
549,244.9417298738152,2019-04-11 19:30:00
550,244.9416854095203,2019-04-11 19:40:00
551,244.93085072669305,2019-04-11 19:50:00
552,244.93321219740676,2019-04-11 20:00:00
553,244.91516258613376,2019-04-11 20:10:00
554,244.9083542408255,2019-04-11 20:20:00
555,244.90133206923463,2019-04-11 20:30:00
556,244.88701668565525,2019-04-11 20:40:00
557,244.8743478550444,2019-04-11 20:50:00
558,244.86121694488446,2019-04-11 21:00:00
559,244.72875760800426,2019-04-11 21:10:00
560,244.71702676376663,2019-04-11 21:20:00
561,244.70195452324768,2019-04-11 21:30:00
562,244.68751975288455,2019-04-11 21:40:00
563,244.67065049962017,2019-04-11 21:50:00
564,244.65814988602813,2019-04-11 22:00:00
565,244.64188544031398,2019-04-11 22:10:00
