Time (DDDHHmm),Mean_temp (K)
1040120,241.76748702196613
1040130,241.75666036025675
1040140,241.74232020442665
1040150,241.73843459567047
1040200,241.71824562618065
1040210,241.70540290363587
1040220,241.68372259082196
1040230,241.6732110668781
1040240,241.6654204384128
1040250,241.6577241323346
1040300,241.64515958117582
1040310,241.64092401391093
1040320,241.62844308487644
1040330,241.61634470481258
1040340,241.6091503476092
1040350,241.59322715458555
1040400,241.58251804563767
1040410,241.57094945938204
1040420,241.5494988638632
1040430,241.52698248028193
1040440,241.50617191186677
1040450,241.47978867812157
1040500,241.47160910552824
1040510,241.44135564707403
1040520,241.4252507477743
1040530,241.3957915731899
1040540,241.3692792190643
1040550,241.34722377771118
1040600,241.3165601305197
1040610,241.28314995380126
1040620,241.24778842218777
1040630,241.2100505355054
1040640,241.1731822498394
1040650,241.13141821793707
1040700,241.09766510371136
1040710,241.05092765695653
1040720,241.0153983671863
1040730,240.97964684837416
1040740,240.94740504757303
1040750,240.9180611481742
1040800,240.88684697851693
1040810,240.86250871899043
1040820,240.83243710950464
1040830,240.80351071829
1040840,240.76811371410628
1040850,240.74035076164628
1040900,240.70992368109273
1040910,240.67402658341354
1040920,240.647438966355
1040930,240.62455613607895
1040940,240.60084148271025
1040950,240.5796569541311
1041000,240.55425679108117
1041010,240.53585091869095
1041020,240.51901703951964
1041030,240.5082858945348
1041040,240.48878499820935
1041050,240.47373586413528
1041100,240.45696666317178
1041110,240.43730794104567
1041120,240.41296405512037
1041130,240.39060340571538
1041140,240.36792787362745
1041150,240.3496698202973
1041200,240.32864955869306
1041210,240.31602572109134
1041220,240.30340480960135
1041230,240.28741714320145
1041240,240.2714513085371
1041250,240.26340768800824
1041300,240.2549113541405
1041310,240.24290417585917
1041320,240.23851032497188
1041330,240.23752349746076
1041340,240.23566146304267
1041350,240.24035838085018
1041400,240.24964623127832
1041410,240.2573615880791
1041420,240.27218313368144
1041430,240.28991878769685
1041440,240.31226863724106
1041450,240.33237625157366
1041500,240.35701214846003
1041510,240.3771895065356
1041520,240.3862928113355
1041530,240.40829004441042
1041540,240.41382290553264
1041550,240.42448135134939
1041600,240.4314958450767
1041610,240.43730075574362
1041620,240.44298271175148
1041630,240.44567811287988
1041640,240.4566214444697
1041650,240.46461089345684
1041700,240.44684982312006
1041710,240.44841699917043
1041720,240.4494930035729
1041730,240.43839774067484
1041740,240.42572128376415
1041750,240.41383486748867
1041800,240.39707575894536
1041810,240.37495191428698
1041820,240.356873769954
1041830,240.33387045283246
1041840,240.31204723340164
1041850,240.29151219783202
1041900,240.26981667560966
1041910,240.25123654661087
1041920,240.228627567463
1041930,240.2010723144182
1041940,240.17248245485857
1041950,240.1397267554195
1042000,240.10806709253575
1042010,240.0704499354332
1042020,240.0353275037216
1042030,239.9947637975575
1042040,239.94807044935268
1042050,239.90197249236297
1042100,239.8586600812437
1042110,239.81326298972363
1042120,239.77027753668932
1042130,239.73289945656725
1042140,239.69643009624383
1042150,239.66760187282318
1042200,239.64284695544126
1042210,239.6130393834168
1042220,239.58456876918325
1042230,239.55812513375048
1042240,239.5303170541678
1042250,239.5020817618357
1042300,239.4698781427617
1042310,239.44366342449612
1042320,239.42127590584255
1042330,239.39932270093254
1042340,239.38247430029284
1042350,239.3655828336264
1050000,239.34876657165236
1050010,239.33020236907527
1050020,239.31714660685356
1050030,239.30434398894624
1050040,239.29856331065528
1050050,239.29386742253104
1050100,239.30044695321317
1050110,239.3012902281749
1050120,239.3135805775078
1050130,239.3257511773335
1050140,239.33815608004002
1050150,239.3525591452547
1050200,239.36829135951314
1050210,239.38068781278974
1050220,239.39923159140588
1050230,239.4105550396491
1050240,239.43696035716061
1050250,239.46151239393916
1050300,239.4904150278439
1050310,239.515321827948
1050320,239.5354363532144
1050330,239.5582720383987
1050340,239.58735682533458
1050350,239.60208254609606
1050400,239.62651677793545
1050410,239.6481303064533
1050420,239.65910011813077
1050430,239.67254072909
1050440,239.6861748793455
1050450,239.69816560131463
1050500,239.7365619806954
1050510,239.75059532561477
1050520,239.75863886511587
1050530,239.76992271523994
1050540,239.774410612346
1050550,239.77741932544012
1050600,239.7844893234978
1050610,239.77842619400013
1050620,239.78055841192128
1050630,239.77923590043443
1050640,239.78484671622257
1050650,239.7768022367303
1050700,239.7748119033918
1050710,239.77239267738807
1050720,239.7738446428625
1050730,239.77390958939193
1050740,239.7753431041176
1050750,239.77251792278022
1050800,239.7795700005993
1050810,239.78756681688307
1050820,239.79375336335303
1050830,239.79123441426214
1050840,239.7942316501632
1050850,239.79258555426202
1050900,239.78000619506557
